Subject,Predicate,Object,Evidence
a(CHEBI:45453 ! sinefungin),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Sinefungin inhibits SARS-CoV-2.
a(CHEBI:45453 ! sinefungin),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Sinefungin inhibits SARS Virus.
a(CHEBI:45453 ! sinefungin),decreases,bp(MESH:D013577 ! Syndrome),Sinefungin inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:45453 ! sinefungin),decreases,a(TEXT:"Zika Virus"),Sinefungin inhibits Zika Virus.
a(CHEBI:5938 ! "Interferon beta-1b"),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Interferon beta-1b inhibits SARS Virus.
a(CHEBI:5938 ! "Interferon beta-1b"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Interferon beta-1b inhibits SARS-CoV-2.
a(CHEBI:5938 ! "Interferon beta-1b"),decreases,bp(MESH:D013577 ! Syndrome),Interferon beta-1b inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:77543 ! ebselen),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Ebselen inhibits SARS Virus.
a(CHEBI:77543 ! ebselen),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Ebselen inhibits SARS-CoV-2.
a(CHEBI:77543 ! ebselen),decreases,a(TEXT:"Zika Virus"),Ebselen inhibits Zika Virus.
a(CHEBI:50381 ! miglustat),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Miglustat inhibits SARS-CoV-2.
a(CHEBI:50381 ! miglustat),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Miglustat inhibits SARS Virus.
a(CHEBI:46195 ! paracetamol),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Paracetamol inhibits SARS-CoV-2.
a(CHEBI:46195 ! paracetamol),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Paracetamol inhibits SARS Virus.
a(CHEBI:46195 ! paracetamol),decreases,a(TEXT:"Zika Virus"),Paracetamol inhibits Zika Virus.
a(CHEBI:53778 ! almitrine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Almitrine inhibits SARS-CoV-2.
a(CHEBI:7565 ! nifedipine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Nifedipine inhibits SARS Virus.
a(CHEBI:7565 ! nifedipine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Nifedipine inhibits SARS-CoV-2.
a(CHEBI:3380 ! captopril),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Captopril inhibits SARS-CoV-2.
a(CHEBI:9434 ! telmisartan),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Telmisartan inhibits SARS-CoV-2.
a(CHEBI:27568 ! "selenium atom"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Selenium atom inhibits SARS-CoV-2.
a(CHEBI:33364 ! platinum),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Platinum inhibits SARS-CoV-2.
a(CHEBI:33364 ! platinum),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Platinum inhibits SARS Virus.
a(CHEBI:68612 ! "EC 3.4.14.5 (dipeptidyl-peptidase IV) inhibitor"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),EC 3.4.14.5 (dipeptidyl-peptidase IV) inhibitor inhibits SARS-CoV-2.
a(CHEBI:68612 ! "EC 3.4.14.5 (dipeptidyl-peptidase IV) inhibitor"),decreases,bp(MESH:D013577 ! Syndrome),EC 3.4.14.5 (dipeptidyl-peptidase IV) inhibitor inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:68612 ! "EC 3.4.14.5 (dipeptidyl-peptidase IV) inhibitor"),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),EC 3.4.14.5 (dipeptidyl-peptidase IV) inhibitor inhibits SARS Virus.
a(CHEBI:44185 ! methotrexate),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Methotrexate inhibits SARS-CoV-2.
a(CHEBI:44185 ! methotrexate),decreases,bp(MESH:D013577 ! Syndrome),Methotrexate inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:4031 ! "cyclosporin A"),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Cyclosporin A inhibits SARS Virus.
a(CHEBI:4031 ! "cyclosporin A"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Cyclosporin A inhibits SARS-CoV-2.
a(CHEBI:4031 ! "cyclosporin A"),decreases,a(TEXT:"Zika Virus"),Cyclosporin A inhibits Zika Virus.
a(CHEBI:4031 ! "cyclosporin A"),decreases,bp(MESH:D013577 ! Syndrome),Cyclosporin A inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:8347 ! Povidone-iodine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Povidone-iodine inhibits SARS Virus.
a(CHEBI:8347 ! Povidone-iodine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Povidone-iodine inhibits SARS-CoV-2.
a(CHEBI:8347 ! Povidone-iodine),decreases,bp(MESH:D013577 ! Syndrome),Povidone-iodine inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:26836 ! "sulfuric acid"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Sulfuric acid inhibits SARS-CoV-2.
a(CHEBI:134743 ! simeprevir),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Simeprevir inhibits SARS-CoV-2.
a(CHEBI:134743 ! simeprevir),decreases,a(TEXT:"Zika Virus"),Simeprevir inhibits Zika Virus.
p(HGNC:9052 ! PLAU),decreases,bp(MESH:C000656484 ! SARS-CoV-2),PLAU inhibits SARS-CoV-2.
p(HGNC:9052 ! PLAU),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),PLAU inhibits SARS Virus.
a(CHEBI:28869 ! menadione),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Menadione inhibits SARS-CoV-2.
a(CHEBI:42820 ! guanidine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Guanidine inhibits SARS-CoV-2.
a(CHEBI:42820 ! guanidine),decreases,bp(MESH:D013577 ! Syndrome),Guanidine inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:42820 ! guanidine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Guanidine inhibits SARS Virus.
a(CHEBI:42820 ! guanidine),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Guanidine inhibits Rift Valley fever virus.
a(CHEBI:28940 ! calciol),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Calciol inhibits SARS-CoV-2.
a(CHEBI:17439 ! "cyanocob(III)alamin"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Cyanocob(III)alamin inhibits SARS-CoV-2.
a(CHEBI:17439 ! "cyanocob(III)alamin"),decreases,bp(MESH:D013577 ! Syndrome),Cyanocob(III)alamin inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:17439 ! "cyanocob(III)alamin"),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Cyanocob(III)alamin inhibits SARS Virus.
a(CHEBI:28790 ! serotonin),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Serotonin inhibits SARS-CoV-2.
a(CHEBI:28790 ! serotonin),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Serotonin inhibits SARS Virus.
a(CHEBI:17045 ! "dinitrogen oxide"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Dinitrogen oxide inhibits SARS-CoV-2.
a(CHEBI:3766 ! clozapine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Clozapine inhibits SARS-CoV-2.
a(CHEBI:3766 ! clozapine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Clozapine inhibits SARS Virus.
a(CHEBI:27732 ! caffeine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Caffeine inhibits SARS-CoV-2.
a(CHEBI:27732 ! caffeine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Caffeine inhibits SARS Virus.
a(CHEBI:76016 ! vortioxetine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Vortioxetine inhibits SARS-CoV-2.
a(CHEBI:85990 ! panobinostat),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Panobinostat inhibits SARS-CoV-2.
a(CHEBI:8428 ! procainamide),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Procainamide inhibits SARS-CoV-2.
a(CHEBI:15354 ! choline),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Choline inhibits SARS-CoV-2.
a(CHEBI:15354 ! choline),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Choline inhibits SARS Virus.
p(HGNC:20704 ! KLHDC3),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Peas inhibits SARS-CoV-2.
a(CHEBI:15882 ! phenol),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Phenol inhibits SARS-CoV-2.
a(CHEBI:15882 ! phenol),decreases,bp(MESH:C000656484 ! SARS-CoV-2),4-[1-hydroxy-2-[4-(phenylmethyl)-1-piperidinyl]propyl]phenol inhibits SARS-CoV-2.
a(CHEBI:15882 ! phenol),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Phenol inhibits SARS Virus.
p(FPLX:IFNB ! IFNB),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Human interferon beta inhibits SARS-CoV-2.
p(FPLX:IFNB ! IFNB),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Human interferon beta inhibits SARS Virus.
p(FPLX:IFNB ! IFNB),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Human interferon beta inhibits Rift Valley fever virus.
p(FPLX:IFNB ! IFNB),decreases,bp(MESH:D013577 ! Syndrome),Human interferon beta inhibits Middle East Respiratory Syndrome Coronavirus.
p(FPLX:IFNB ! IFNB),decreases,a(TEXT:"Zika Virus"),Human interferon beta inhibits Zika Virus.
a(CHEBI:82977 ! daclatasvir),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Daclatasvir inhibits SARS-CoV-2.
a(CHEBI:82977 ! daclatasvir),decreases,a(TEXT:"Zika Virus"),Daclatasvir inhibits Zika Virus.
a(CHEBI:18397 ! 2-phenylethylamine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),2-phenylethylamine inhibits SARS-CoV-2.
a(CHEBI:29007 ! ceftriaxone),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Ceftriaxone inhibits SARS-CoV-2.
a(CHEBI:29007 ! ceftriaxone),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Ceftriaxone inhibits SARS Virus.
a(CHEBI:29007 ! ceftriaxone),decreases,bp(MESH:D013577 ! Syndrome),Ceftriaxone inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:45783 ! imatinib),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Imatinib inhibits SARS-CoV-2.
a(CHEBI:17351 ! "linoleic acid"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Linoleic acid inhibits SARS-CoV-2.
a(CHEBI:17351 ! "linoleic acid"),decreases,bp(MESH:D013577 ! Syndrome),Linoleic acid inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:29036 ! "copper(2+)"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Copper(2+) inhibits SARS-CoV-2.
a(CHEBI:29036 ! "copper(2+)"),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Copper(2+) inhibits SARS Virus.
a(CHEBI:29036 ! "copper(2+)"),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Copper(2+) inhibits Rift Valley fever virus.
a(CHEBI:29036 ! "copper(2+)"),decreases,bp(MESH:D013577 ! Syndrome),Copper(2+) inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:4027 ! cyclophosphamide),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Cyclophosphamide inhibits SARS-CoV-2.
a(CHEBI:4027 ! cyclophosphamide),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Cyclophosphamide inhibits SARS Virus.
a(CHEBI:4027 ! cyclophosphamide),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Cyclophosphamide inhibits Rift Valley fever virus.
a(CHEBI:15713 ! UTP),decreases,bp(MESH:C000656484 ! SARS-CoV-2),UTP inhibits SARS-CoV-2.
a(CHEBI:17823 ! calcitriol),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Calcitriol inhibits SARS-CoV-2.
a(CHEBI:59560 ! sapropterin),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Sapropterin inhibits SARS-CoV-2.
a(CHEBI:135946 ! sincalide),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Sincalide inhibits SARS-CoV-2.
a(CHEBI:52172 ! nilotinib),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Nilotinib inhibits SARS-CoV-2.
a(CHEBI:52172 ! nilotinib),decreases,a(TEXT:"Zika Virus"),Nilotinib inhibits Zika Virus.
a(CHEBI:52172 ! nilotinib),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Nilotinib inhibits SARS Virus.
a(CHEBI:52172 ! nilotinib),decreases,a(TEXT:"Nipah Virus"),Nilotinib inhibits Nipah Virus.
a(CHEBI:16856 ! glutathione),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Glutathione inhibits SARS-CoV-2.
a(CHEBI:16856 ! glutathione),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Glutathione inhibits SARS Virus.
a(CHEBI:90879 ! tipiracil),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Tipiracil inhibits SARS-CoV-2.
a(CHEBI:75179 ! trifluridine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Trifluridine inhibits SARS-CoV-2.
a(CHEBI:75179 ! trifluridine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Trifluridine inhibits SARS Virus.
a(CHEBI:48720 ! argatroban),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Argatroban inhibits SARS-CoV-2.
a(CHEBI:50749 ! calcipotriol),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Calcipotriol inhibits SARS-CoV-2.
a(CHEBI:36704 ! imiquimod),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Imiquimod inhibits SARS-CoV-2.
a(CHEBI:36704 ! imiquimod),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Imiquimod inhibits SARS Virus.
a(CHEBI:37956 ! "histamine antagonist"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Histamine antagonist inhibits SARS-CoV-2.
a(CHEBI:37956 ! "histamine antagonist"),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Histamine antagonist inhibits SARS Virus.
a(CHEBI:3561 ! cetirizine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Cetirizine inhibits SARS-CoV-2.
a(CHEBI:18295 ! histamine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Histamine inhibits SARS-CoV-2.
a(CHEBI:18295 ! histamine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Histamine inhibits SARS Virus.
a(CHEBI:6121 ! ketamine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Ketamine inhibits SARS-CoV-2.
a(CHEBI:6121 ! ketamine),decreases,bp(MESH:D013577 ! Syndrome),Ketamine inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:6121 ! ketamine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Ketamine inhibits SARS Virus.
a(CHEBI:50659 ! dronedarone),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Dronedarone inhibits SARS-CoV-2.
a(CHEBI:68642 ! abiraterone),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Abiraterone inhibits SARS-CoV-2.
a(CHEBI:7507 ! neomycin),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Neomycin inhibits SARS-CoV-2.
a(CHEBI:7507 ! neomycin),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Neomycin inhibits SARS Virus.
a(CHEBI:36791 ! escitalopram),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Escitalopram inhibits SARS-CoV-2.
a(CHEBI:9943 ! venlafaxine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Venlafaxine inhibits SARS-CoV-2.
a(CHEBI:17650 ! cortisol),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Cortisol inhibits SARS-CoV-2.
a(CHEBI:17650 ! cortisol),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Cortisol inhibits SARS Virus.
a(CHEBI:68621 ! boceprevir),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Boceprevir inhibits SARS Virus.
a(CHEBI:68621 ! boceprevir),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Boceprevir inhibits SARS-CoV-2.
a(CHEBI:68595 ! telaprevir),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Telaprevir inhibits SARS Virus.
a(CHEBI:68595 ! telaprevir),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Telaprevir inhibits SARS-CoV-2.
p(HGNC:29306 ! CALCOCO1),decreases,bp(MESH:C000656484 ! SARS-CoV-2),CALCOCO1 inhibits SARS-CoV-2.
a(CHEBI:135752 ! tafenoquine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Tafenoquine inhibits SARS-CoV-2.
a(CHEBI:85202 ! peramivir),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Peramivir inhibits SARS Virus.
a(CHEBI:85202 ! peramivir),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Peramivir inhibits SARS-CoV-2.
a(CHEBI:85202 ! peramivir),decreases,bp(MESH:D013577 ! Syndrome),Peramivir inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:5613 ! haloperidol),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Haloperidol inhibits SARS-CoV-2.
a(CHEBI:5613 ! haloperidol),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Haloperidol inhibits SARS Virus.
a(CHEBI:76004 ! "dimethyl fumarate"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Dimethyl fumarate inhibits SARS-CoV-2.
a(CHEBI:76004 ! "dimethyl fumarate"),decreases,bp(MESH:D013577 ! Syndrome),Dimethyl fumarate inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:76004 ! "dimethyl fumarate"),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Dimethyl fumarate inhibits SARS Virus.
a(CHEBI:8382 ! prednisone),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Prednisone inhibits SARS-CoV-2.
a(CHEBI:8382 ! prednisone),decreases,bp(MESH:D013577 ! Syndrome),Prednisone inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:27470 ! "folic acid"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Folic acid inhibits SARS-CoV-2.
a(CHEBI:27470 ! "folic acid"),decreases,bp(MESH:D013577 ! Syndrome),Folic acid inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:27470 ! "folic acid"),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Folic acid inhibits SARS Virus.
a(CHEBI:17596 ! inosine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Inosine inhibits SARS-CoV-2.
a(CHEBI:15640 ! "5-formyltetrahydrofolic acid"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),5-formyltetrahydrofolic acid inhibits SARS-CoV-2.
a(CHEBI:27881 ! resveratrol),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Resveratrol inhibits SARS-CoV-2.
a(CHEBI:27881 ! resveratrol),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Resveratrol inhibits SARS Virus.
a(CHEBI:27881 ! resveratrol),decreases,bp(MESH:D013577 ! Syndrome),Resveratrol inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:135590 ! ambroxol),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Ambroxol inhibits SARS Virus.
a(CHEBI:135590 ! ambroxol),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Ambroxol inhibits SARS-CoV-2.
a(TEXT:Bevacizumab),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Bevacizumab inhibits SARS-CoV-2.
a(TEXT:Bevacizumab),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Bevacizumab inhibits SARS Virus.
a(CHEBI:29864 ! mannitol),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Mannitol inhibits SARS-CoV-2.
a(CHEBI:29864 ! mannitol),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Mannitol inhibits SARS Virus.
a(CHEBI:29864 ! mannitol),decreases,bp(MESH:D013577 ! Syndrome),Mannitol inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:63918 ! artesunate),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Artesunate inhibits SARS-CoV-2.
a(CHEBI:63918 ! artesunate),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Artesunate inhibits SARS Virus.
a(CHEBI:35718 ! "antifungal agent"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Antifungal agent inhibits SARS-CoV-2.
a(CHEBI:35718 ! "antifungal agent"),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Antifungal agent inhibits SARS Virus.
a(CHEBI:16183 ! methane),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Methane inhibits SARS-CoV-2.
a(CHEBI:499361 ! aprepitant),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Aprepitant inhibits SARS-CoV-2.
a(CHEBI:156255 ! S-adenosyl-D-methionine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),S-Adenosylmethionine inhibits SARS-CoV-2.
a(CHEBI:156255 ! S-adenosyl-D-methionine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),S-Adenosylmethionine inhibits SARS Virus.
a(CHEBI:16680 ! S-adenosyl-L-homocysteine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),S-adenosyl-L-homocysteine inhibits SARS-CoV-2.
a(CHEBI:16680 ! S-adenosyl-L-homocysteine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),S-adenosyl-L-homocysteine inhibits SARS Virus.
a(CHEBI:16680 ! S-adenosyl-L-homocysteine),decreases,bp(MESH:D013577 ! Syndrome),S-adenosyl-L-homocysteine inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:23359 ! colchicine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Colchicine inhibits SARS-CoV-2.
a(CHEBI:23359 ! colchicine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Colchicine inhibits SARS Virus.
a(CHEBI:14434 ! imidazole),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Imidazole inhibits SARS-CoV-2.
a(CHEBI:14434 ! imidazole),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Imidazole inhibits SARS Virus.
a(CHEBI:3311 ! "calcium carbonate"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Calcium carbonate inhibits SARS-CoV-2.
a(CHEBI:68556 ! icatibant),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Icatibant inhibits SARS-CoV-2.
a(CHEBI:16243 ! quercetin),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Quercetin inhibits SARS-CoV-2.
a(CHEBI:16243 ! quercetin),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Quercetin inhibits SARS Virus.
a(CHEBI:16243 ! quercetin),decreases,bp(MESH:D006505 ! Hepatitis),Quercetin inhibits Murine hepatitis virus.
a(CHEBI:16243 ! quercetin),decreases,a(TEXT:"Zika Virus"),Quercetin inhibits Zika Virus.
a(CHEBI:16243 ! quercetin),decreases,bp(MESH:D013577 ! Syndrome),Quercetin inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:22198 ! acetylcysteine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Acetylcysteine inhibits SARS-CoV-2.
a(CHEBI:22198 ! acetylcysteine),decreases,bp(MESH:D013577 ! Syndrome),Acetylcysteine inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:39548 ! atorvastatin),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Atorvastatin inhibits SARS-CoV-2.
p(HGNC:2438 ! CSF3),decreases,bp(MESH:C000656484 ! SARS-CoV-2),CSF3 inhibits SARS-CoV-2.
a(CHEBI:27641 ! cycloheximide),decreases,bp(MESH:D013577 ! Syndrome),Cycloheximide inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:27641 ! cycloheximide),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Cycloheximide inhibits SARS Virus.
a(CHEBI:27641 ! cycloheximide),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Cycloheximide inhibits SARS-CoV-2.
a(CHEBI:27641 ! cycloheximide),decreases,bp(MESH:D006505 ! Hepatitis),Cycloheximide inhibits Murine hepatitis virus.
a(CHEBI:48080 ! "brefeldin A"),decreases,a(TEXT:"Zika Virus"),Brefeldin A inhibits Zika Virus.
a(CHEBI:48080 ! "brefeldin A"),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Brefeldin A inhibits SARS Virus.
a(CHEBI:48080 ! "brefeldin A"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Brefeldin A inhibits SARS-CoV-2.
a(CHEBI:28787 ! nitroglycerin),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Nitroglycerin inhibits SARS Virus.
a(CHEBI:472805 ! ouabain),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Ouabain inhibits SARS Virus.
a(CHEBI:472805 ! ouabain),decreases,a(TEXT:"Zika Virus"),Ouabain inhibits Zika Virus.
a(CHEBI:44296 ! tetraethylammonium),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Tetraethylammonium inhibits SARS Virus.
a(CHEBI:47426 ! furosemide),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Furosemide inhibits SARS Virus.
a(CHEBI:47426 ! furosemide),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Furosemide inhibits SARS-CoV-2.
a(CHEBI:8058 ! phencyclidine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Phencyclidine inhibits SARS Virus.
a(CHEBI:3048 ! benzatropine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Benzatropine inhibits SARS Virus.
a(CHEBI:3723 ! citalopram),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Citalopram inhibits SARS Virus.
a(CHEBI:3723 ! citalopram),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Citalopram inhibits SARS-CoV-2.
a(CHEBI:18243 ! dopamine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Dopamine inhibits SARS Virus.
a(CHEBI:18243 ! dopamine),decreases,bp(MESH:D013577 ! Syndrome),Dopamine inhibits Middle East Respiratory Syndrome Coronavirus.
